key;fr;en
event_1_titre;La Vague de Lagon Quantic;
event_1_desc;Au kiosque de Tito Mansi au Square Valmont, une nouvelle saveur, "Lagon Quantic", est un succès fulgurant. Mais un étrange bourdonnement se dégage de la glace, synchronisé avec le Néon-Ring...;
event_1_choix1;Manger la glace pour ressentir ses effets.;
event_1_choix2;Prévenir Tito, il a peut-être un problème avec sa recette.;
event_2_titre;;
event_2_desc;;
event_2_choix1;;
event_2_choix2;;
event_3_titre;;
event_3_desc;;
event_3_choix1;;
event_3_choix2;;
event_4_titre;;
event_4_desc;;
event_4_choix1;;
event_4_choix2;;
event_5_titre;;
event_5_desc;;
event_5_choix1;;
event_5_choix2;;
event_6_titre;;
event_6_desc;;
event_6_choix1;;
event_6_choix2;;
event_7_titre;;
event_7_desc;;
event_7_choix1;;
event_7_choix2;;
event_8_titre;;
event_8_desc;;
event_8_choix1;;
event_8_choix2;;
event_9_titre;;
event_9_desc;;
event_9_choix1;;
event_9_choix2;;
event_10_titre;;
event_10_desc;;
event_10_choix1;;
event_10_choix2;;
event_11_titre;;
event_11_desc;;
event_11_choix1;;
event_11_choix2;;
event_12_titre;;
event_12_desc;;
event_12_choix1;;
event_12_choix2;;
event_13_titre;;
event_13_desc;;
event_13_choix1;;
event_13_choix2;;
event_14_titre;;
event_14_desc;;
event_14_choix1;;
event_14_choix2;;
event_15_titre;;
event_15_desc;;
event_15_choix1;;
event_15_choix2;;
event_16_titre;;
event_16_desc;;
event_16_choix1;;
event_16_choix2;;
event_17_titre;;
event_17_desc;;
event_17_choix1;;
event_17_choix2;;
event_18_titre;;
event_18_desc;;
event_18_choix1;;
event_18_choix2;;
event_19_titre;;
event_19_desc;;
event_19_choix1;;
event_19_choix2;;
event_20_titre;;
event_20_desc;;
event_20_choix1;;
event_20_choix2;;
event_21_titre;;
event_21_desc;;
event_21_choix1;;
event_21_choix2;;
event_22_titre;;
event_22_desc;;
event_22_choix1;;
event_22_choix2;;
event_23_titre;;
event_23_desc;;
event_23_choix1;;
event_23_choix2;;
event_24_titre;;
event_24_desc;;
event_24_choix1;;
event_24_choix2;;
event_25_titre;;
event_25_desc;;
event_25_choix1;;
event_25_choix2;;
event_26_titre;;
event_26_desc;;
event_26_choix1;;
event_26_choix2;;
event_27_titre;;
event_27_desc;;
event_27_choix1;;
event_27_choix2;;
event_28_titre;;
event_28_desc;;
event_28_choix1;;
event_28_choix2;;
event_29_titre;;
event_29_desc;;
event_29_choix1;;
event_29_choix2;;
event_30_titre;;
event_30_desc;;
event_30_choix1;;
event_30_choix2;;
event_31_titre;;
event_31_desc;;
event_31_choix1;;
event_31_choix2;;
event_32_titre;;
event_32_desc;;
event_32_choix1;;
event_32_choix2;;
event_33_titre;;
event_33_desc;;
event_33_choix1;;
event_33_choix2;;
event_34_titre;;
event_34_desc;;
event_34_choix1;;
event_34_choix2;;
event_35_titre;;
event_35_desc;;
event_35_choix1;;
event_35_choix2;;
event_36_titre;;
event_36_desc;;
event_36_choix1;;
event_36_choix2;;
event_37_titre;;
event_37_desc;;
event_37_choix1;;
event_37_choix2;;
event_38_titre;;
event_38_desc;;
event_38_choix1;;
event_38_choix2;;
event_39_titre;;
event_39_desc;;
event_39_choix1;;
event_39_choix2;;
event_40_titre;;
event_40_desc;;
event_40_choix1;;
event_40_choix2;;
event_41_titre;;
event_41_desc;;
event_41_choix1;;
event_41_choix2;;
event_42_titre;;
event_42_desc;;
event_42_choix1;;
event_42_choix2;;
event_43_titre;;
event_43_desc;;
event_43_choix1;;
event_43_choix2;;
event_44_titre;;
event_44_desc;;
event_44_choix1;;
event_44_choix2;;
event_45_titre;;
event_45_desc;;
event_45_choix1;;
event_45_choix2;;
event_46_titre;;
event_46_desc;;
event_46_choix1;;
event_46_choix2;;
event_47_titre;;
event_47_desc;;
event_47_choix1;;
event_47_choix2;;
event_48_titre;;
event_48_desc;;
event_48_choix1;;
event_48_choix2;;
event_49_titre;;
event_49_desc;;
event_49_choix1;;
event_49_choix2;;
event_50_titre;;
event_50_desc;;
event_50_choix1;;
event_50_choix2;;
event_51_titre;;
event_51_desc;;
event_51_choix1;;
event_51_choix2;;
event_52_titre;;
event_52_desc;;
event_52_choix1;;
event_52_choix2;;
event_53_titre;;
event_53_desc;;
event_53_choix1;;
event_53_choix2;;
event_54_titre;;
event_54_desc;;
event_54_choix1;;
event_54_choix2;;
event_55_titre;;
event_55_desc;;
event_55_choix1;;
event_55_choix2;;
event_56_titre;;
event_56_desc;;
event_56_choix1;;
event_56_choix2;;
event_57_titre;;
event_57_desc;;
event_57_choix1;;
event_57_choix2;;
event_58_titre;;
event_58_desc;;
event_58_choix1;;
event_58_choix2;;
event_59_titre;;
event_59_desc;;
event_59_choix1;;
event_59_choix2;;
event_60_titre;;
event_60_desc;;
event_60_choix1;;
event_60_choix2;;
event_61_titre;;
event_61_desc;;
event_61_choix1;;
event_61_choix2;;
event_62_titre;;
event_62_desc;;
event_62_choix1;;
event_62_choix2;;
event_63_titre;;
event_63_desc;;
event_63_choix1;;
event_63_choix2;;
event_64_titre;;
event_64_desc;;
event_64_choix1;;
event_64_choix2;;
event_65_titre;;
event_65_desc;;
event_65_choix1;;
event_65_choix2;;
event_66_titre;;
event_66_desc;;
event_66_choix1;;
event_66_choix2;;
event_67_titre;;
event_67_desc;;
event_67_choix1;;
event_67_choix2;;
event_68_titre;;
event_68_desc;;
event_68_choix1;;
event_68_choix2;;
event_69_titre;;
event_69_desc;;
event_69_choix1;;
event_69_choix2;;
event_70_titre;;
event_70_desc;;
event_70_choix1;;
event_70_choix2;;
event_71_titre;;
event_71_desc;;
event_71_choix1;;
event_71_choix2;;
event_72_titre;;
event_72_desc;;
event_72_choix1;;
event_72_choix2;;
event_73_titre;;
event_73_desc;;
event_73_choix1;;
event_73_choix2;;
event_74_titre;;
event_74_desc;;
event_74_choix1;;
event_74_choix2;;
event_75_titre;;
event_75_desc;;
event_75_choix1;;
event_75_choix2;;
event_76_titre;;
event_76_desc;;
event_76_choix1;;
event_76_choix2;;
event_77_titre;;
event_77_desc;;
event_77_choix1;;
event_77_choix2;;
event_78_titre;;
event_78_desc;;
event_78_choix1;;
event_78_choix2;;
event_79_titre;;
event_79_desc;;
event_79_choix1;;
event_79_choix2;;
event_80_titre;;
event_80_desc;;
event_80_choix1;;
event_80_choix2;;
event_81_titre;;
event_81_desc;;
event_81_choix1;;
event_81_choix2;;
event_82_titre;;
event_82_desc;;
event_82_choix1;;
event_82_choix2;;
event_83_titre;;
event_83_desc;;
event_83_choix1;;
event_83_choix2;;
event_84_titre;;
event_84_desc;;
event_84_choix1;;
event_84_choix2;;
event_85_titre;;
event_85_desc;;
event_85_choix1;;
event_85_choix2;;
event_86_titre;;
event_86_desc;;
event_86_choix1;;
event_86_choix2;;
event_87_titre;;
event_87_desc;;
event_87_choix1;;
event_87_choix2;;
event_88_titre;;
event_88_desc;;
event_88_choix1;;
event_88_choix2;;
event_89_titre;;
event_89_desc;;
event_89_choix1;;
event_89_choix2;;
event_90_titre;;
event_90_desc;;
event_90_choix1;;
event_90_choix2;;
event_91_titre;;
event_91_desc;;
event_91_choix1;;
event_91_choix2;;
event_92_titre;;
event_92_desc;;
event_92_choix1;;
event_92_choix2;;
event_93_titre;;
event_93_desc;;
event_93_choix1;;
event_93_choix2;;
event_94_titre;;
event_94_desc;;
event_94_choix1;;
event_94_choix2;;
event_95_titre;;
event_95_desc;;
event_95_choix1;;
event_95_choix2;;
event_96_titre;;
event_96_desc;;
event_96_choix1;;
event_96_choix2;;
event_97_titre;;
event_97_desc;;
event_97_choix1;;
event_97_choix2;;
event_98_titre;;
event_98_desc;;
event_98_choix1;;
event_98_choix2;;
event_99_titre;;
event_99_desc;;
event_99_choix1;;
event_99_choix2;;
event_100_titre;;
event_100_desc;;
event_100_choix1;;
event_100_choix2;;
