key;fr;en
amorce2_1;Plusieurs quartiers périphériques de Novasec connaissent de mystérieuses microcoupures électriques. Étrangement, elles suivent le tracé des anciens affaissements de 1989.;
amorce2_2;Nos archives le confirment : les vibrations actuelles coïncident avec les secteurs où un tunnel bétonné avait été découvert... puis caché.;
amorce2_3;"Des interférences électromagnétiques ""inexpliquées"" perturbent les communications sous la Verrerie. Ce quartier avait été évacué partiellement en 1990.";
amorce2_4;"Des témoignages émergent : de faibles lumières pulsées sont aperçues par des fissures d'entretien. Les anciens tunnels ""oubliés"" de Novasec semblent s’éveiller.";
amorce2_5;Une série de piratages suit précisément la carte des galeries condamnées dans les années 90. Le Pulsar établit la correspondance.;
amorce2_6;"Plusieurs drones d'inspection disparaissent sous la zone Est, exactement au-dessus des anciens sites de forage géotechnique ""secret"" de 1989.";
amorce2_7;Un effondrement mineur près du square Valmont révèle un conduit scellé. Il porte les marques de construction militaire des années 80.;
amorce2_8;"Le Pulsar révèle l’existence d'un ""réseau dormant"", construit dans le silence il y a 50 ans, désormais réactivé à l'insu des autorités.";
amorce2_9;Le bruit du passé renaît : capteurs et habitants détectent des pulsations mécaniques venues du sol. Comme un écho lointain...;
amorce2_10;Le Pulsar affirme : ce que la ville a tenté d'enterrer en 1990 est devenu l'ossature invisible de Novasec. Le battement souterrain continue, plus fort que jamais.;
