key;fr;en
1979-01-22;Plusieurs habitants alertent sur d’étranges grondements en dessous de chez eux. Les autorités évoquent "de simples vibrations naturelles dues au réseau coaxial". Le Pulsar écoute.;Several residents report strange rumbling sounds beneath their homes. The authorities dismiss them as "simple natural vibrations from the coaxial network." The Pulsar listens.
1989-01-27;Après une nouvelle secousse mensuelle, des fissures apparaissent sur des façades anciennes. Rien d’inquiétant, assure la mairie. Le Pulsar se pose des questions.;After another monthly tremor, cracks appear on old building facades. The city hall assures everyone there's nothing to worry about. The Pulsar has questions.
1993-09-03;Les galeries Subterranea vont recevoir des rénovations "préventives". Pourquoi ces interventions si tout est sous contrôle ? Le Pulsar envoie ses journalistes d’investigations.;The Subterranea galleries are set to receive "preventive" renovations. Why these interventions if everything is under control? The Pulsar sends its investigative journalists.
1999-12-31;Nos lecteurs signalent des convois de camions bâchés circulant tard dans la nuit. Aucune communication officielle à ce sujet. Le Pulsar vous éclairera.;Our readers report convoys of covered trucks driving late at night. There's no official communication on the matter. The Pulsar will shed light on this.
2005-04-08;Ce matin, un affaissement bref révèle l'existence d'un tunnel bétonné sous l'avenue Nord, sous le Théâtre d’Halo. L'accès est bouclé sans explication. Le Pulsar enquête.;This morning, a brief subsidence reveals the existence of a concrete tunnel under North Avenue, beneath the Halo Theater. The access is sealed off without explanation. The Pulsar investigates.
2010-04-09;Le décret est tombé : La ville interdit l'accès aux souterrains par mesure de précaution. Mais précaution contre quoi ? Le Pulsar trouvera la réponse à cette question.;The decree has been issued: The city forbids access to the underground passages as a precautionary measure. But precaution against what? The Pulsar will find the answer to that question.
2016-12-23;Nous découvrons qu'un arrêté municipal discret a fermé les archives des plans souterrains de Novasec. Pourquoi enterrer l'information ? Le Pulsar investigue.;We discover that a discreet municipal order has closed the archives of Novasec's underground plans. Why bury the information? The Pulsar investigates.
2033-06-23;Après environ 48h de blackout, les services sont enfin de nouveaux opérationnels. Cependant, interdiction totale des souterrains près du Lab Méduse. Pourquoi ? Le Pulsar ne se noiera pas.;After a 48-hour blackout, services are finally back up and running. However, a total ban on underground passages near Lab Méduse. Why? The Pulsar will not drown.
2035-04-14;Des paquets chiffrés non identifiés de données circulent sur NovaNet. De plus, certaines parties de la ville, en particulier les sous terrains, sont interdites au public. Le Pulsar alerte: quelque chose d’inquiétant se trame.;Unidentified encrypted packets of data are circulating on NovaNet. What's more, certain parts of the city, especially the underground areas, are off-limits to the public. The Pulsar alerts: something disturbing is afoot.
2039-02-14;Des silhouettes robotiques près du Puits Serein ont été aperçues. Les autorités évoquent une farce, le Pulsar évoque l’urgence.;Robotic silhouettes have been spotted near the Puits Serein. The authorities call it a prank, the Pulsar calls it an emergency.
2041-08-31;SOLIS, l’IA civique créée en 2016 ne répond plus. Tous les souterrains se sont écroulés. Lecteurs du Pulsar, ne sombrez pas dans la panique, mais nous vous invitez à faire des réserves et de rester chez vous le plus possible. Le Pulsar veille.;SOLIS, the civic AI created in 2016, no longer responds. All underground passages have collapsed. Pulsar readers, don't panic, but we encourage you to stock up and stay at home as much as possible. The Pulsar is watching.
