key;fr;en
$1979-01-21;Ouverture du Pixel-Palace, première salle d’arcades en réseau local de Novasec.;Opening of the Pixel-Palace, Novasec's first local network arcade hall.
$1980-04-28;Rénovation du pont des Ombres. Transparent le jour, opaque la nuit, la passerelle est dorénavant entièrement vitrée, devenant un écran géant de graffitis de réalité augmentée.;Renovation of the Shadow Bridge. Transparent during the day, opaque at night, the walkway is now fully glassed, becoming a giant augmented reality graffiti screen.
$1982-01-31;Le Pont des Ombres devient temporairement une galerie d’enseignes laser. Tournoi gratuit pour tous !;The Shadow Bridge temporarily becomes a laser sign gallery. Free tournament for all!
$1984-03-12;Le square Valmont se dote d’une nouvelle vitrine, le Néon-Ring, symbole de Novasec.;Valmont Square gets a new showcase, the Neon-Ring, a symbol of Novasec.
$1986-06-18;Lancement du réseau coaxial NovaNet. Vitesse maximum atteinte : 64 kb/s !;Launch of the NovaNet coaxial network. Maximum speed reached: 64 kb/s!
$1990-03-20;Anciennes lignes de métro sur trois niveaux, les Galeries Subterranea sans fond aux fresques bactériolumionescence servent maintenant pour des hackathons clandestins pilotés par le Collectif Voxel.;Old three-level metro lines, the bottomless Subterranea Galleries with bioluminescent frescoes, now serve as venues for clandestine hackathons run by the Voxel Collective.
$1995-04-08;Ouverture de l’Usine Echo, studio à réverbération à convolution.;Opening of the Echo Factory, a convolution reverberation studio.
$1999-07-02;NovaNet atteint pour la première fois 1Go/s !;NovaNet reaches 1Gb/s for the first time!
$2000-02-16;NovaNet change de nom : Place à NovaNet 2000 !;NovaNet changes its name to NovaNet 2000!
$2004-09-30;La tour Opaline est achevée. Abritant la Bourse des Idées Numériques (BIN), les citoyens de Novasec peuvent voter sur les lois liées au numérique, faisant de Novasec la première Démocratie Participative au Numérique du monde.;The Opaline Tower is completed. Housing the Digital Ideas Exchange (DIE), Novasec citizens can vote on digital laws, making Novasec the world's first Digital Participatory Democracy.
$2008-02-12;La Compagnie Azur lance ses taxis autonomes. Risquant de monopoliser la mobilité et de provoquer des licenciements chez les conducteurs - notamment du tram - le syndicat des Gardiens du Rails est créé. Leur siège social est la Crypte d’Argon, ancienne chambre froide d’alliages.;Compagnie Azur launches its autonomous taxis. Risking monopolizing mobility and causing layoffs for drivers - especially tram drivers - the Rail Guardians union is created. Their headquarters are the Argon Crypt, a former alloy cold storage room.
$2010-01-29;PUB : Venez à la tour Mirador DELTA ! La nouvelle tour météo couleur pastel de 270m de haut ouvre gratuitement sa terrasse panoramique. Les couples y scellent leur capsules-usb, chiffrées par l’IA climatique, leur promettant bonheur durant les tempêtes.;AD: Come to the DELTA Mirador Tower! The new 270m tall pastel-colored weather tower opens its panoramic terrace for free. Couples seal their USB capsules there, encrypted by the climatic AI, promising them happiness during storms.
$2016-11-12;SOLIS, la nouvelle IA civique est enfin déployée sur NovaNet. S'auto-alimentant en permanence, on estime à une amélioration de la vie des citoyens jusqu’à 30% la première année.;SOLIS, the new civic AI, is finally deployed on NovaNet. Permanently self-powering, it is estimated to improve citizens' lives by up to 30% in the first year.
$2018-10-10;Basée sur SOLIS, l’IA génératrice, Le parc des Archives est enfin ouvert ! Chaque citoyen pourra compléter la base de données du parc, afin d’améliorer l’IA et ainsi approfondir et affiner en permanence son adaptabilité.;Based on SOLIS, the generative AI, the Archives Park is finally open! Every citizen can supplement the park's database to improve the AI and thus continuously deepen and refine its adaptability.
$2023-03-27;La Compagnie Azur lance ses taxi-drônes verticaux. Livraisons aériennes et navettes premium vers la Tour Opaline, avec son programme Néo Azur compte bien garder son monopole sur le transport. Comment vont réagir les Gardiens du Rails ?;Compagnie Azur launches its vertical taxi-drones. With aerial deliveries and premium shuttles to the Opaline Tower, its Neo Azur program intends to keep its monopoly on transport. How will the Rail Guardians react?
