key;fr;en
random_01;Glace « Lagon Quantic » de Tito Mansi - files records au Square Valmont.;Tito Mansi’s “Quantic Lagoon” ice cream, record queues at Square Valmont.
random_02;Tour Opaline - loi « Nuit sans pubs holographiques » adoptée à 53 %.;Opaline Tower, “No Holographic Ads at Night” law passed with 53% of the vote.
random_03;Pont des Ombres couvert de graffitis AR « Free the Rails » avant l’aube.;Bridge of Shadows covered in “Free the Rails” AR graffiti before dawn.
random_04;Expo bactériolumineuse piratée - slogans Voxel clignotent sous Subterranea.;Hacked bioluminescent exhibit, Voxel slogans flash under Subterranea.
random_05;Usine Écho - concours d’« écho-sculpture », la nef turbine affiche complet.;Echo Factory, “echo-sculpture” contest, turbine hall is sold out.
random_06;Serres Lysiane vend la première fraise bleu-électrique aux enchères caritatives.;Lysiane Greenhouses sells the first electric-blue strawberry at a charity auction.
random_07;Galerie Nébuleuse - filtre « Aurore » colore le ciel partagé en rose pastel.;Nebula Gallery, “Aurora” filter colors the shared sky pastel pink.
random_08;Crypte d’Argon - soirée « No Bluetooth », vinyles tournent toute la nuit.;Argon Crypt, “No Bluetooth” party, vinyls spin all night long.
random_09;Taxis Azur bloqués - Gardiens du Rails exigent réemploi des ex-conducteurs.;Azur Taxis blocked, Guardians of the Rails demand re-employment of former drivers.
random_10;Café des Courants échange 100 rumeurs cryptées contre un ristretto « Delta Deep ».;Currents Café trades 100 encrypted rumors for a “Delta Deep” ristretto.
random_11;Labyrinthe Quartz déplace sa sortie principale - visiteurs coincés deux heures.;Quartz Labyrinth moves its main exit, visitors trapped for two hours.
random_12;Mirador Δ diffuse panorama 8 K sur bracelets météo personnels.;Mirador Δ broadcasts an 8K panorama on personal weather bracelets.
random_13;Station Lumen-Nord clignote violet en continu - retard tram prolongé.;Lumen-Nord Station flashes purple continuously, tram delays extended.
random_14;Parc des Archives - statue IA proclame « Demain, la fin des écrans » — polémique.;Archives Park, AI statue proclaims “Tomorrow, the end of screens”—sparking controversy.
random_15;Bunker Sigma bat record - 12 000 joueurs d’escape-game en une semaine.;Bunker Sigma sets a record, 12,000 escape-game players in one week.
random_16;Les Bancaires misent un million de crédits sur la finale drone-foot au Halo.;The Bankers wager one million credits on the drone-foot final at the Halo.
random_17;Azur Néo teste module silence - promet vols de taxi-drone sans bourdonnement.;Azur Neo tests silent module, promises buzz-free drone-taxi flights.
random_18;Voxel annonce avoir purgé trois pétaoctets de données corrompues de SOLIS.;Voxel announces purging three petabytes of corrupted data from SOLIS.
random_19;Gardiens du Rails distribuent journaux papier gratuits à Lumen-Nord.;Guardians of the Rails distribute free paper newspapers at Lumen-Nord.
random_20;Mare du Square Valmont passe au turquoise, synchronisée à la playlist de Tito.;Square Valmont Pond turns turquoise, synchronized with Tito’s playlist.
random_21;Théâtre Halo projette opéra aquatique - brume reflète spectres multicolores.;Halo Theater projects an aquatic opera, mist reflects multicolored specters.
random_22;Pont des Ombres vibre lors d’essai de drones cargo lourds — tests suspendus.;Bridge of Shadows vibrates during a heavy cargo drone test—tests suspended.
random_23;Usine Écho capte un grondement basse fréquence, enquête acoustique lancée.;Echo Factory picks up a low-frequency rumble, acoustic investigation launched.
random_24;Serres Lysiane implantent pollinisateurs-robots malgré pétition écologiste.;Lysiane Greenhouses deploy robot-pollinators despite an environmentalist petition.
random_25;Galerie Nébuleuse ouvre stand « Identité en 5 pixels » — succès immédiat.;Nebula Gallery opens “Identity in 5 pixels” booth—immediate success.
