key;fr;en
hack_gold;Vos hacks rapportent {hack_gold_value}% d'or.;Your hacks yield {hack_gold_value}% gold.
hack_time;Vos hacks durent {hack_time_value}% de temps.;Your hacks last {hack_time_value}% time.
hack_jail;Vous avez {hack_jail_value}% d'aller en prison.;You have {hack_jail_value}% chance of going to jail.
$innocent;Innocent;Innocent
$report;Signalement;Report
$usp;Surveillance préliminaire;Preliminary Surveillance
$usa;Surveillance active;Active Surveillance
$targeted;Cible Identifiée;Target Identified
$public_enemy;Ennemi public;Public Enemy
$infamy;Infamie;Infamy
$xp_click_flat;Xp supplémentaire par click;Additional xp per click
$brain_xp;Xp de connaissance;Xp knowledge
$knowledge_click_bonus;Connaissance supplémentaire par click;
