key;fr;en
conclusion_1;Ici le Pulsar.;Here the Pulsar.
conclusion_2;Depuis les premières vibrations, nous avons écouté.;Since the first vibrations, we have listened.
conclusion_3;Depuis les premières fissures, nous nous sommes questionnés.;Since the first cracks, we have wondered.
conclusion_4;Depuis que les souterrains sont fermés nous avons alerté.;Since the undergrounds were closed, we have raised the alarm.
conclusion_5;Mais NOVASEC ne nous a pas écouté.;But NOVASEC did not listen to us.
conclusion_6;Et ces robots vont détruire l’humanité.;And these robots are going to destroy humanity.
conclusion_7;…;…
conclusion_8;Si seulement nous avions agi au lieu d’informer…;If only we had acted instead of informing…
conclusion_9;Quand la ville se tait, Le Pulsar parle.;When the city falls silent, The Pulsar speaks.
conclusion_10;Quand Le Pulsar ne parle plus...;When the Pulsar no longer speaks...
conclusion_11;…;…
conclusion_12;Force cybernétique des robots: {robot_force_cyber};Cybernetic force of the robots: {robot_force_cyber}
conclusion_13;Votre force: {player_force_cyber};Your force: {player_force_cyber}
conclusion_14;FIN DE TRANSMISSION;END OF TRANSMISSION
conclusion_15;…;…
conclusion_16;… …;… …
conclusion_17;… … …;… … …
conclusion_18;NovaNET - - - - - - tentative de reconnexion - - - - - -;NovaNET - - - - - - attempting reconnection - - - - - -
conclusion_19;échec;failure
conclusion_20;NovaNET - - - - - - tentative de passer en mode sans échec - - - - - -;NovaNET - - - - - - attempting safe mode - - - - - -
conclusion_21;échec;failure
conclusion_22;…;…
conclusion_23;…;…
conclusion_24;…;…
conclusion_25;tentative d'authentification en cours…;authentication attempt in progress…
conclusion_26;login: CollectifVoxel;login: CollectifVoxel
conclusion_27;password: ***************;password: ***************
conclusion_28;payload injecté;payload injected
conclusion_29;...;...
conclusion_30;trop de services endommagés;too many services damaged
conclusion_31;succès partiel;partial success
conclusion_32;…;…
conclusion_33;…;…
conclusion_34;…;…
