key;fr;en
introduction_1;Ding ! Ding ! Diiing !;Ding ! Ding ! Diiing !   
introduction_2;18h00.;6:00 p.m.
introduction_3;La cloche à la sonnerie numérique retentit dans la classe, annonçant la fin des cours.;The digital bell rings in the classroom, announcing the end of classes.
introduction_4;Par la fenêtre, au loin, vous apercevez le Néon-Ring du Square Valmont;Through the window, in the distance, you catch sight of the Neon-Ring at Square Valmont
introduction_5;Sa lumière qui pulse au loin, se réfléchissant sur les échafaudages du Pont des Ombres qui vient de commencer sa rénovation.;Its light pulses in the distance, reflecting off the scaffolding of the Bridge of Shadows, which has just begun its renovation.
introduction_6;L’ère des années Lasers commence.;The era of the Laser Years begins.
introduction_7;Tout deviendra numérique.;Everything will become digital.
introduction_8;Tout.;Everything.
introduction_9;Mais le monde ignore ce que cela veut dire, ce que cela engendre.;But the world ignores what that means, what it unleashes.
introduction_10;Comment en profiter.;How to take advantage of it.
introduction_11;...;...
introduction_12;Bienvenue dans la ville de Novasec;Welcome to Novasec
