key;fr;en
$Level;Niveau;Level
$Hack;Hack;Hack
$level;niveau;level
$Lv;Niv;Lv
$Upgr;Amél;Upgr
$Cost;Coût;Cost
$Salary;Salaire;Salary
$Bonus;Bonus;Bonus
$Upgrade;Amélioration;Upgrade
$Effects;Effets;Effects
$Gain;Gain;Gain
$knowledge;Connaissance;Knowledge
$gold;Argent;Money
$skillPoint;Compétence;Skill
$cyber_force;Force Cyber;Cyber Force 
$Duration;Durée;Duration
$WaitingHacked;Cliquer pour hacker...;Click to hack...
$nothing;Rien;Nothing
$serve_sentence;Purger sa peine;Serve his sentence
$years_left;ans sont passés...;years have passed...
$were_in_jail;VOUS ETES ALLEZ EN PRISON;YOU WENT TO JAIL
$years;ans;years
$Settings;Paramètres;Settings
$Modifiers;Modificateurs;Modifiers
$PulsarTitle;Le Pulsar de Novasec;Novasec's Pulsar
$PulsarLogan;Quand la ville se tait, le Pulsar parle;When the city is silent, the Pulsar speaks
$Brain;Cerveau;Brain
$Xp_per_click;Xp par click;Xp per click
$knowledge_click_perc;Connaissance par click;Knowledge per click
$LearningItems;Objets passifs;Passive items
